0.005,183.2
0.01,104.0
0.015,94.2
0.02,93.3
0.025,92.8
0.03,92.0
0.035,92.8
0.04,95.7
0.045,113.6
0.05,98.3
0.055,93.4
0.06,93.1
0.065,93.6
0.07,92.5
0.075,92.6
0.08,92.4
0.085,92.1
0.09,91.8
0.095,92.3
0.1,93.2
0.105,94.7
0.11,118.0
0.115,97.3
0.12,95.7
0.125,92.4
0.13,92.7
0.135,93.3
0.14,93.1
0.145,96.3
0.15,93.8
0.155,92.1
0.16,93.4
0.165,92.3
0.17,93.4
0.175,92.6
0.18,93.5
0.185,97.1
0.19,96.4
0.195,94.7
0.2,92.8
0.205,95.9
0.21,92.0
0.215,91.8
0.22,91.8
0.225,91.9
0.23,91.8
0.235,92.1
0.24,91.6
0.245,91.9
0.25,91.9
